Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,p-o-1-z-6,p-o-1-z-7,b-o-1-z-8,b-o-2-e-1,b-o-2-e-2,b-o-2-e-3,p-o-2-e-4,p-o-2-z-5,p-o-2-z-6,b-o-2-z-7,b-o-2-z-8,b-o-3-z-1,b-o-3-e-2,p-o-3-e-3,p-o-3-p-4,p-o-3-e-5,b-f-3-z-6,p-f-3-z-7,p-o-3-e-8,b-o-3-z-9,p-o-4-z-1,p-o-4-e-2,p-o-4-e-3,p-f-4-e-4,p-f-4-e-5,p-o-4-p-6,p-o-4-p-7,b-f-4-z-8,b-f-4-z-9,p-o-5-e-1,p-o-5-e-2,p-o-5-z-3,p-o-5-e-4,p-f-5-z-5,b-f-5-z-6,b-f-5-z-7,b-f-5-z-8,p-o-6-e-1,p-o-6-e-2,p-f-6-e-3,p-f-6-z-4,p-o-6-z-5,p-o-6-p-6,p-o-6-p-7,b-f-6-z-8,b-f-6-z-9,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-z-4,p-f-7-z-5,p-f-7-z-6,p-f-7-z-7,p-o-8-z-1,b-f-8-z-2,p-o-8-e-3,p-f-8-e-4,p-o-8-p-5
ac21x-91,95,75,83,60,85,85,84,90,70,75,75,84,80,83,90,90,60,100,75,85,71,100,100,88,95,93,94,90,77,100,100,85,90,90,81,100,100,73,80,92,95,100,75,95,95,100,100,90,95,78,60,85,79,91,100,95,95,100,88,66,95,88,90
ac21x-92,80,60,60,70,60,60,60,75,60,76,60,75,60,60,75,90,100,75,91,90,80,60,90,98,95,85,81,90,60,90,80,80,75,90,90,100,85,99,75,75,90,100,80,80,85,100,100,100,90,60,60,90,64,90,90,92,90,100,90,90,90,90,100
ac21x-93,60,60,60,60,89,70,65,60,60,60,60,60,70,65,80,60,60,60,60,60,60,80,80,60,90,65,60,60,65,60,60,75,60,90,60,65,65,60,60,65,80,75,60,60,60,69,65,65,75,60,90,66,60,65,60,65,70,60,70,68,70,64,80
ac21x-94,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,90,60,60,60,60,60,75,75,60,60,60,60,60,60,60,60,60,60,90,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,66,60,60,75
ac21x-95,60,60,80,70,65,65,60,75,75,70,60,60,70,60,60,90,60,60,60,60,60,75,75,60,60,65,60,60,65,60,60,60,60,90,60,60,65,60,60,60,60,60,60,60,62,60,65,70,75,60,60,65,60,65,60,65,60,60,70,62,70,63,75
ac21x-96,82,60,60,65,60,70,65,75,76,60,60,60,70,65,60,90,60,70,60,60,65,65,60,60,60,60,60,65,65,60,60,60,65,90,60,65,70,60,60,60,70,75,60,70,60,60,60,65,75,70,60,64,60,65,60,65,65,60,60,72,70,61,60
ac21x-97,92,93,85,60,96,90,90,90,88,60,75,95,95,95,95,90,75,90,60,60,81,75,70,98,60,92,75,80,60,91,65,85,75,70,98,90,70,60,75,85,75,90,92,75,75,95,100,60,100,71,60,80,67,90,60,85,70,100,87,76,95,87,75
ac21x-99,75,90,86,90,67,80,77,90,60,60,60,60,60,60,70,100,60,60,60,60,60,60,70,60,60,60,60,60,60,60,60,60,75,60,75,60,60,75,60,60,60,90,60,60,60,60,60,60,70,70,60,60,60,60,60,60,60,60,60,60,60,60,75
ac21x-100,77,88,82,60,75,85,87,85,85,60,70,74,97,90,90,100,65,75,60,60,75,80,70,95,70,78,88,67,60,94,80,74,70,75,76,90,100,64,75,71,60,90,60,60,85,60,100,65,75,60,60,70,60,60,60,60,65,60,84,72,87,90,75
ac21x-101,90,95,86,75,75,85,76,75,83,75,63,71,65,64,90,90,65,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,75,100,60,60,65,60,60,60,60,100,65,70,60,65,70,65,75,70,100,70,60,65,60,75,65,60,65,60,75,70,75
ac21x-102,100,87,89,80,95,100,78,95,100,90,75,87,95,100,90,90,60,80,75,80,60,78,60,91,70,60,85,75,60,98,75,95,95,60,87,90,100,70,75,84,100,90,70,75,80,100,60,90,85,95,60,90,60,63,60,92,71,100,78,80,70,90,100
ac21x-104,90,99,89,75,85,100,82,100,80,90,75,68,95,72,90,100,75,100,75,70,85,80,70,93,75,80,69,60,65,85,65,60,68,75,65,75,100,60,60,60,80,90,60,70,80,60,100,70,90,60,60,80,60,65,60,60,70,65,87,74,75,90,85
ac21x-105,72,78,76,60,82,60,76,85,72,60,60,60,60,66,100,90,65,90,81,90,75,90,60,93,85,86,86,90,60,100,90,85,61,100,87,85,100,67,66,61,75,90,75,85,70,100,100,90,70,100,60,90,60,75,65,80,83,100,81,70,90,67,60
ac21x-106,97,93,75,65,93,90,74,100,90,60,60,80,70,64,85,90,80,90,76,75,75,95,70,93,75,60,86,67,60,93,75,90,75,60,80,90,100,70,70,80,77,90,65,60,80,85,100,90,85,80,60,76,60,60,60,70,70,74,72,60,65,80,100
ac21x-107,68,76,87,60,65,85,87,85,60,60,60,60,60,60,90,90,60,70,60,60,60,75,60,95,60,60,60,60,60,69,60,60,60,60,60,60,60,60,65,70,70,90,60,60,60,65,60,60,60,70,60,70,60,60,60,75,65,60,60,68,70,60,75
ac21x-108,70,81,75,65,80,85,82,95,60,60,60,60,60,60,75,90,60,60,60,60,60,60,60,60,60,60,60,60,65,60,60,60,60,60,60,60,70,60,60,60,75,90,60,60,65,60,60,65,70,60,90,65,60,65,60,70,70,60,65,72,70,70,80
