Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,p-o-1-z-6,p-o-1-z-7,b-o-1-z-8,b-o-2-e-1,b-o-2-e-2,b-o-2-e-3,p-o-2-e-4,p-o-2-z-5,p-o-2-z-6,b-o-2-z-7,b-o-2-z-8,b-o-3-z-1,b-o-3-e-2,p-o-3-e-3,p-o-3-p-4,p-o-3-e-5,b-f-3-z-6,p-f-3-z-7,p-o-3-e-8,b-o-3-z-9,p-o-4-z-1,p-o-4-e-2,p-o-4-e-3,p-f-4-e-4,p-f-4-e-5,p-o-4-p-6,p-o-4-p-7,b-f-4-z-8,b-f-4-z-9,p-o-5-e-1,p-o-5-e-2,p-o-5-z-3,p-o-5-e-4,p-f-5-z-5,b-f-5-z-6,b-f-5-z-7,b-f-5-z-8,p-o-6-e-1,p-o-6-e-2,p-f-6-e-3,p-f-6-z-4,p-o-6-z-5,p-o-6-p-6,p-o-6-p-7,b-f-6-z-8,b-f-6-z-9,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-z-4,p-f-7-z-5,p-f-7-z-6,p-f-7-z-7,p-o-8-z-1,b-f-8-z-2,p-o-8-e-3,p-f-8-e-4,p-o-8-p-5
ac21x-20,100,100,89,100,100,100,98,100,100,100,100,96,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,98,90,95,100,100,92,82,85,100,100,100,100,82,90,100,95,93,90,92,95,100,90,90,90,90,100
ac21x-22,90,75,90,60,80,65,60,60,60,60,60,60,75,75,60,60,60,60,65,65,60,60,60,60,60,60,60,65,65,60,60,60,75,60,60,65,60,60,60,60,75,70,60,60,60,60,65,65,70,67,90,65,60,65,60,65,65,60,60,70,70,70,60
ac21x-23,90,75,80,60,72,87,85,60,85,60,83,90,70,98,93,60,65,90,75,85,78,60,70,95,70,79,79,75,67,83,76,80,100,90,63,60,90,60,61,65,60,90,62,80,76,95,70,81,80,80,60,80,81,84,90,97,75,94,92,74,95,82,90
ac21x-24,90,100,90,70,65,60,72,60,85,60,60,79,75,60,60,60,60,60,60,60,60,60,60,60,60,70,65,60,65,60,65,60,65,60,60,60,65,60,60,60,70,70,60,60,60,60,65,70,70,60,60,65,60,65,60,70,65,60,60,68,70,63,60
ac21x-25,90,100,79,75,78,90,95,90,93,60,80,88,90,100,60,60,65,90,81,100,81,100,70,95,80,84,83,90,60,91,86,77,65,72,90,95,95,99,75,76,70,100,62,70,70,95,100,65,90,76,60,70,63,60,60,60,65,60,70,70,70,93,90
ac21x-26,90,85,83,60,80,70,88,75,85,60,70,62,75,75,62,60,65,60,75,85,60,75,60,98,75,60,65,60,60,82,85,80,65,90,67,75,86,60,70,60,60,60,62,60,60,90,65,60,70,75,90,75,62,60,60,65,60,71,79,72,65,67,90
ac21x-27,90,98,83,80,85,100,96,90,100,80,85,85,94,95,96,90,75,90,77,75,86,100,70,85,90,76,80,80,75,95,95,80,100,90,73,95,95,75,80,72,75,85,80,85,86,100,100,90,85,70,60,80,69,85,90,96,91,94,89,74,85,93,90
ac21x-28,90,86,60,60,67,80,60,60,75,60,60,63,75,75,75,60,65,90,60,60,68,60,60,90,60,60,60,65,60,82,60,60,75,90,60,65,65,60,60,70,70,75,60,60,60,60,60,65,70,70,60,70,60,60,60,75,65,60,60,72,70,60,80
ac21x-29,85,60,90,60,65,60,60,75,60,60,60,60,70,60,60,60,60,60,65,60,60,75,60,60,60,65,60,65,65,60,60,60,60,60,60,60,70,60,65,60,60,70,60,60,60,60,65,60,70,67,90,65,60,65,60,65,70,65,70,62,70,63,70
ac21x-30,95,89,80,60,70,85,88,75,85,60,83,81,75,75,90,60,65,60,85,75,65,65,70,93,60,79,84,65,60,83,95,80,70,90,76,85,95,60,80,85,100,80,62,80,85,100,100,90,80,78,90,80,60,88,60,75,90,100,88,78,90,88,95
ac21x-31,95,78,80,75,85,70,72,90,90,60,70,61,90,85,97,90,65,90,60,60,65,100,60,85,76,70,60,75,75,70,65,60,60,90,60,60,65,60,60,85,76,100,60,70,60,60,60,65,90,60,60,70,60,60,60,75,70,65,65,68,70,62,85
ac21x-32,80,100,66,77,95,85,85,90,70,70,84,75,80,95,65,85,60,60,70,70,60,60,80,81,60,83,80,90,80,80,80,80,60,60,80,60,90,60,75,60,60,60,60,75,60,60,60,90,85,60,60,90,60,85,60,80,90,60,90,60,90,85,90
