Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,b-o-1-z-6,b-o-1-z-7,p-o-1-z-8,b-o-1-z-9,b-o-2-e-1,b-o-2-e-2,p-o-2-e-3,p-o-2-e-4,b-o-2-z-5,b-o-2-z-6,p-o-2-z-7,b-o-2-z-8,b-o-2-z-9,b-o-3-e-1,p-o-3-e-2,p-o-3-e-3,p-o-3-e-4,p-o-3-p-5,p-o-3-z-6,b-o-3-z-7,b-f-3-z-8,b-f-3-z-9,b-o-3-z-10,b-o-3-z-11,b-o-4-e-1,b-o-4-e-2,p-o-4-e-3,p-o-4-e-4,b-f-4-z-5,p-o-4-z-6,b-f-4-z-7,p-f-4-z-8,p-f-4-z-9,b-o-4-z-10,p-o-5-e-1,p-o-5-e-2,p-o-5-e-3,p-o-5-e-4,p-o-5-p-5,p-f-5-z-6,p-f-5-z-7,p-f-5-z-8,b-o-5-z-9,p-o-6-e-1,p-o-6-e-2,p-o-6-e-3,p-o-6-p-4,b-o-6-z-5,p-f-6-z-6,p-f-6-z-7,b-o-6-z-8,p-o-6-e-1.1,p-o-6-e-2.1,p-o-6-e-3.1,p-o-6-e-4,p-o-6-z-5,p-f-6-z-6.1,p-f-6-z-7.1,b-o-8-e-1,p-o-8-z-2,p-o-8-e-3,p-f-8-e-4,p-o-8-p-5,p-o-8-p-6
ac18x-17,100,100,85,90,90,80,100,100,100.0,95,90,100,97,95,100,99,100,100.0,100,100,100,100,100,100,100,100,90,100,100.0,100,90,90,100,100,100,95,100,100,90,100,96,100,100,100,97,100,99,100.0,94,90,100,100,100,100,100,100.0,100,97,100,100,95,100,96,97,95,100,100,100,100
ac18x-18,95,90,85,83,95,85,100,75,85,86,80,85,90,100,100,92,90,60,90,100,95,85,75,90,100,100,90,90,75.0,80,60,60,60,60,75,85,60,60,85,75,60,83,60,70,75,76,60,60.0,60,60,65,75,85,75,61,75.0,60,70,60,60,60,75,60,60,70,75,60,60,60
ac18x-19,80,80,70,80,80,80,80,80,x,80,80,70,70,80,90,80,85,x,60,80,60,75,70,60,70,65,75,65,95.0,75,75,60,60,75,75,75,60,75,85,60,60,85,70,70,60,60,60,60.0,60,75,60,60,65,75,60,60.0,75,60,60,60,60,60,65,80,65,60,60,90,90
ac18x-20,99,100,85,80,95,70,95,100,85,85,75,90,98,100,100,99,100,60,90,100,100,75,80,90,100,95,80,85,80.0,100,60,80,90,100,95,85,85,90,100,60,65,76,60,60,75,75,71,60.0,60,60,60,95,75,80,65,60.0,75,60,60,75,60,73,70,75,80,65,65,75,70
ac18x-21,90,77,63,76,90,70,85,80,90,75,60,80,70,90,100,83,80,100,62,81,60,92,80,60,90,71,60,60,60.0,75,60,70,60,60,85,70,60,60,85,65,65,71,60,60,60,60,60,60.0,60,60,71,70,75,70,60,60.0,60,60,60,60,60,60,60,64,70,60,65,75,60
ac18x-22,82,70,70,75,90,75,95,85,80,60,60,80,60,90,100,82,80,100,60,85,60,81,60,60,80,60,60,60,80.0,75,60,60,60,60,85,75,60,60,85,60,60,82,60,60,60,60,60,60.0,60,60,61,75,75,70,60,60.0,60,70,60,60,60,60,60,60,70,65,70,90,60
ac18x-23,70,85,75,70,80,60,75,90,80,60,60,60,60,90,100,60,60,100,60,90,60,89,70,60,90,60,60,60,60.0,75,60,70,60,60,75,85,65,60,85,60,60,85,60,60,60,60,60,60.0,60,60,61,80,85,70,60,60.0,65,60,60,60,60,60,60,60,65,65,72,70,70
ac18x-24,80,95,60,82,80,85,90,85,80,75,60,80,78,90,95,75,80,100,60,90,60,85,70,60,80,60,60,60,80.0,75,60,60,60,60,75,60,70,60,80,60,60,80,60,60,60,60,60,65.0,60,60,60,80,75,70,60,60.0,60,60,60,60,60,60,60,60,70,65,60,75,60
ac18x-25,95,80,60,70,80,60,85,100,80,65,70,75,75,90,100,65,70,100,85,90,80,73,100,82,100,65,75,80,70.0,90,60,75,82,90,85,70,75,95,85,75,60,85,90,75,60,75,60,60.0,60,60,70,75,80,80,70,90.0,60,80,90,75,60,75,65,67,80,75,70,100,60
ac18x-26,100,60,75,85,90,60,90,75,80,62,70,80,60,95,100,65,60,100,60,82,60,81,60,70,90,75,60,60,60.0,75,60,60,60,60,75,70,60,60,85,60,60,71,60,60,60,60,60,60.0,60,60,60,75,60,70,60,60.0,60,60,60,60,60,60,60,71,70,60,60,60,60
ac18x-27,75,75,88,75,65,69,75,60,80,65,60,90,90,60,75,80,90,100,60,68,60,75,100,68,70,60,60,60,65.0,85,60,75,60,60,75,65,75,60,85,60,60,60,60,60,65,60,60,60.0,60,60,60,80,75,75,60,90.0,75,60,60,75,60,60,60,60,75,75,60,100,90
ac18x-28,100,100,95,80,90,90,100,100,85,90,90,100,99,98,100,99,100,100,100,100,100,95,100,100,100,100,90,100,95.0,100,95,96,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100.0,96,90,100,100,100,100,100,100.0,100,98,100,100,100,100,100,92,100,100,100,100,100
