Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,p-o-1-z-6,b-o-1-z-7,p-o-1-z-8,b-o-2-e-1,b-o-2-e-2,b-o-2-e-3,p-o-2-e-4,p-o-2-p-5,p-o-2-z-6,p-o-2-z-7,p-o-2-z-8,b-o-2-z-9,b-o-3-e-1,p-o-3-e-2,p-o-3-e-3,p-f-3-e-4,b-o-3-z-5,b-f-3-z-6,p-o-3-z-7,b-o-3-z-8,b-o-4-e-1,p-o-4-e-2,p-o-4-e-3,p-f-4-e-4,p-f-4-e-5,p-o-4-p-6,p-o-4-p-7,b-o-4-z-8,b-f-4-z-9,p-f-5-e-1,p-o-5-e-2,p-o-5-e-3,p-o-5-z-4,b-f-5-z-5,p-f-5-z-6,b-f-5-z-7,b-o-5-z-8,p-o-6-e-1,p-o-6-e-2,p-f-6-e-3,p-o-6-p-4,p-f-6-z-5,b-o-6-z-6,b-f-6-z-7,p-o-6-p-8,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-z-4,p-f-7-z-5,p-f-7-z-6,p-f-7-z-8,p-o-8-e-1,b-o-8-e-2,p-o-8-e-3,p-f-8-z-4,p-f-8-z-5
ac20x-55,75,60,100,65,60.0,60,75,60,60.0,60,80.0,60,60.0,60,75,62,85,100.0,80,60.0,77.0,80,70,90,80,60.0,60,60,65,60,60,70,60.0,60.0,60,60.0,60.0,65.0,75,65,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,75.0,60.0,60.0,60.0,75.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ac20x-56,85,80,90,75,80.0,70,90,100,80.0,60,60.0,70,60.0,60,69,97,90,91.0,60,60.0,69.0,65,65,60,80,60.0,60,60,60,70,60,60,90,90.0,60,90.0,75.0,75.0,85,80,100.0,90.0,60.0,60.0,75.0,60.0,60.0,90.0,60.0,75.0,60.0,60.0,60.0,90.0,60.0,60.0,60.0,90.0,70.0,70.0,60.0,70.0
ac20x-57,95,88,100,65,71.0,65,90,77,80.0,70,60.0,75,95.0,60,60,66,85,87.0,75,75.0,74.0,60,60,60,80,60.0,60,65,62,65,60,60,70,60.0,60,65.0,65.0,60.0,65,60,60.0,70.0,60.0,65.0,60.0,60.0,60.0,70.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,65.0,62.0,60.0
ac20x-58,95,100,100,90,100.0,100,90,94,100.0,95,95.0,86,94.0,81,93,92,90,100.0,90,98.0,90.0,95,82,90,90,60.0,90,100,90,100,75,100,75,100.0,85,98.0,100.0,96.0,90,100,100.0,85.0,75.0,90.0,93.0,90.0,86.0,90.0,85.0,100.0,90.0,83.0,80.0,93.0,90.0,100.0,100.0,100.0,60.0,90.0,92.0,85.0
ac20x-59,95,100,100,90,100.0,100,95,100,100.0,100,95.0,100,100.0,99,100,90,95,100.0,95,98.0,93.0,90,100,100,100,100.0,99,100,100,100,98,100,95,100.0,100,100.0,100.0,100.0,100,100,90.0,90.0,90.0,90.0,75.0,100.0,90.0,90.0,90.0,100.0,100.0,90.0,93.0,86.0,75.0,85.0,100.0,100.0,75.0,100.0,100.0,100.0
ac20x-60,95,93,85,75,82.0,79,90,88,92.0,60,80.0,78,85.0,66,90,84,зв,77.0,75,60.0,64.0,60,80,100,80,60.0,60,60,60,65,60,60,75,65.0,60,60.0,60.0,60.0,70,80,80.0,75.0,60.0,60.0,75.0,75.0,65.0,90.0,60.0,70.0,70.0,60.0,60.0,60.0,70.0,65.0,60.0,65.0,60.0,70.0,67.0,60.0
ac20x-61,90,100,100,65,95.0,81,90,91,95.0,60,60.0,65,90.0,78,91,71,85,100.0,70,60.0,77.0,60,70,100,60,60.0,60,60,60,60,60,60,95,75.0,60,60.0,60.0,60.0,75,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,70.0,70.0,60.0,60.0,60.0,70.0,70.0,60.0,72.0,72.0,70.0,70.0,75.0
ac20x-62,84,77,87,71,92.0,80,90,74,92.0,80,60.0,86,75.0,75,75,82,90,77.0,75,70.0,80.0,65,65,75,90,67.0,82,82,70,70,92,75,90,60.0,75,83.0,90.0,99.0,85,95,90.0,75.0,60.0,80.0,60.0,80.0,98.0,90.0,70.0,100.0,80.0,60.0,62.0,65.0,82.0,85.0,64.0,60.0,70.0,76.0,70.0,75.0
ac20x-63,75,75,75,75,90.0,80,90,75,90.0,75,75.0,90,90.0,75,75,75,90,75.0,75,75.0,80.0,90,75,85,90,90.0,60,75,90,75,75,75,90,75.0,70,71.0,100.0,99.0,90,100,100.0,90.0,70.0,90.0,100.0,90.0,100.0,90.0,100.0,90.0,92.0,60.0,83.0,86.0,83.0,90.0,100.0,90.0,60.0,90.0,76.0,100.0
ac20x-64,100,100,95,80,100.0,100,98,100,100.0,97,95.0,100,100.0,100,100,100,90,100.0,100,100.0,100.0,100,100,100,95,75.0,78,100,90,80,95,100,75,75.0,95,75.0,100.0,100.0,80,100,85.0,90.0,72.0,100.0,60.0,90.0,74.0,90.0,90.0,100.0,100.0,80.0,76.0,70.0,75.0,76.0,67.0,93.0,70.0,90.0,83.0,80.0
ac20x-65,78,70,99,92,80.0,84,90,90,80.0,88,70.0,85,70.0,88,82,96,90,80.0,60,60.0,70.0,60,75,65,95,60.0,60,60,60,65,60,60,100,60.0,60,70.0,70.0,70.0,95,60,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
ac20x-66,90,74,90,75,85.0,73,90,84,80.0,60,95.0,73,80.0,61,70,75,90,75.0,60,75.0,60.0,60,70,100,90,60.0,60,60,60,60,60,60,90,60.0,60,62.0,60.0,60.0,65,95,95.0,60.0,60.0,70.0,60.0,85.0,69.0,90.0,60.0,75.0,70.0,60.0,60.0,80.0,63.0,75.0,60.0,65.0,70.0,70.0,62.0,70.0
ac20x-67,100,100,100,60,100.0,100,95,100,92.0,70,80.0,100,100.0,87,100,100,90,100.0,95,90.0,90.0,85,100,100,100,80.0,99,100,95,90,100,100,100,98.0,86,92.0,95.0,90.0,90,100,85.0,100.0,75.0,90.0,60.0,70.0,60.0,100.0,100.0,100.0,95.0,75.0,70.0,90.0,100.0,75.0,70.0,82.0,90.0,100.0,62.0,80.0
ac20x-68,85,89,85,65,92.0,60,90,80,75.0,60,65.0,64,75.0,60,60,73,85,80.0,75,60.0,80.0,65,68,60,75,60.0,60,65,60,60,60,70,60,60.0,85,67.0,60.0,60.0,80,90,65.0,95.0,80.0,65.0,68.0,90.0,70.0,80.0,60.0,70.0,60.0,85.0,64.0,65.0,60.0,72.0,60.0,83.0,100.0,100.0,60.0,70.0
ac20x-69,60,60,60,65,60.0,60,60.0,75,60.0,65,60.0,70,87.0,75,65,60,60.0,60.0,60,60.0,60.0,60,70,70,60.0,60.0,60,60,65,70,60,60,60.0,60.0,60,60.0,60.0,70.0,60,60,60.0,60.0,60.0,70.0,60.0,65.0,60.0,60.0,60.0,70.0,70.0,60.0,60.0,60.0,65.0,65.0,60.0,60.0,70.0,70.0,61.0,70.0
ac20x-70,100,100,90,85,95.0,96,90,97,85.0,80,80.0,77,100.0,92,73,100,85,100.0,95,97.0,93.0,95,80,100,60,60.0,91,65,96,90,85,75,100,77.0,87,90.0,95.0,89.0,80,80,93.0,95.0,65.0,75.0,61.0,75.0,62.0,80.0,70.0,90.0,75.0,60.0,65.0,62.0,97.0,70.0,60.0,70.0,70.0,100.0,62.0,90.0
ac20x-71,90,92,85,70,82.0,90,90,84,75.0,65,65.0,60,85.0,60,60,73,85,75.0,75,60.0,70.0,70,70,60,95,60.0,91,70,88,90,60,80,95,60.0,90,61.0,100.0,60.0,75,85,75.0,95.0,60.0,70.0,62.0,65.0,60.0,80.0,60.0,70.0,60.0,60.0,66.0,60.0,65.0,75.0,60.0,63.0,76.0,70.0,65.0,75.0
ac20x-72,100,100,100,80,95.0,100,90,100,95.0,75,95.0,92,100.0,90,90,78,90,60.0,60,75.0,60.0,60,65,70,60,60.0,60,60,60,60,60,60,60,65.0,60,60.0,60.0,60.0,60,60,60.0,95.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,75.0,70.0,60.0,60.0,60.0,70.0,65.0,60.0,60.0,60.0,63.0,60.0,75.0
ac20x-73,75,100,60,73,82.0,65,60,95,76.0,66,74.0,60,60.0,60,60,60,70,60.0,85,60.0,75.0,65,75,60,75,60.0,60,60,60,60,60,60,75,75.0,60,60.0,60.0,70.0,65,60,100.0,60.0,65.0,80.0,60.0,70.0,60.0,60.0,70.0,75.0,65.0,60.0,60.0,60.0,65.0,65.0,60.0,65.0,68.0,60.0,65.0,75.0
ac20x-74,95,91,90,70,90.0,100,90,97,100.0,95,80.0,80,100.0,90,96,92,75,100.0,95,98.0,95.0,95,90,100,95,85.0,92,100,99,90,85,100,100,100.0,85,94.0,100.0,99.0,100,100,100.0,95.0,77.0,90.0,90.0,90.0,95.0,100.0,100.0,100.0,60.0,60.0,65.0,65.0,70.0,75.0,60.0,90.0,60.0,100.0,82.0,100.0
ac20x-75,95,100,95,65,90.0,87,90,100,70.0,70,95.0,98,80.0,95,85,84,80,95.0,78,93.0,67.0,71,70,100,60,60.0,70,60,98,65,60,60,60,60.0,60,60.0,60.0,60.0,75,60,80.0,70.0,60.0,75.0,75.0,65.0,60.0,60.0,70.0,70.0,60.0,60.0,65.0,75.0,75.0,60.0,60.0,65.0,70.0,70.0,61.0,70.0
ac20x-76,60,61,66,66,68.0,60,85,60,81.0,77,60.0,60,60.0,60,60,61,85,67.0,75,75.0,60.0,60,75,60,60,60.0,60,60,60,60,60,60,75,62.0,60,60.0,60.0,60.0,75,60,60.0,60.0,60.0,70.0,60.0,65.0,60.0,60.0,60.0,70.0,65.0,60.0,60.0,60.0,65.0,65.0,60.0,65.0,60.0,70.0,63.0,75.0
ac20x-77,95,92,100,65,85.0,79,90,76,70.0,60,60.0,65,65.0,60,60,75,60,60.0,75,60.0,60.0,60,60,80,60,60.0,60,60,60,65,60,60,60,75.0,60,60.0,60.0,60.0,75,60,60.0,60.0,60.0,70.0,60.0,60.0,60.0,60.0,60.0,70.0,70.0,60.0,60.0,65.0,75.0,70.0,60.0,60.0,74.0,70.0,67.0,70.0
ac20x-78,100,100,100,80,100.0,100,95,100,85.0,70,80.0,97,100.0,95,100,97,зв,95.0,80,94.0,86.0,65,100,100,100,75.0,62,60,73,76,60,60,100,70.0,60,60.0,60.0,60.0,75,100,60.0,60.0,60.0,65.0,60.0,60.0,60.0,75.0,60.0,70.0,70.0,60.0,65.0,60.0,80.0,70.0,60.0,65.0,70.0,75.0,61.0,75.0
ac20x-79,90,100,100,85,100.0,100,95,94,96.0,65,70.0,90,88.0,74,75,83,95,85.0,75,94.0,84.0,65,67,60,95,60.0,82,65,89,86,75,65,75,95.0,70,92.0,95.0,90.0,85,100,65.0,95.0,80.0,75.0,81.0,90.0,60.0,80.0,75.0,90.0,92.0,75.0,82.0,68.0,60.0,98.0,64.0,82.0,60.0,90.0,60.0,90.0
