Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-z-4,b-o-1-z-5,p-o-1-z-6,b-o-2-e-1,b-o-2-e-2,p-o-2-e-3,p-o-2-e-4,b-o-2-z-5,p-o-2-z-6,p-o-2-z-7,b-o-3-e-1,p-o-3-e-2,p-o-3-e-3,p-o-3-e-4,p-o-3-p-5,p-o-3-z-6,b-f-3-z-7,b-f-3-z-8,b-o-3-z-9,b-o-4-e-1,p-o-4-e-2,p-o-4-e-3,b-o-4-e-4,p-o-4-z-5,b-f-4-z-6,b-f-4-z-7,p-f-4-z-8,p-f-4-z-9,p-o-5-e-1,p-o-5-e-2,p-o-5-e-3,p-o-5-e-4,p-o-5-p-5,p-f-5-z-6,p-f-5-z-7,p-f-5-z-8,p-o-6-e-1,p-o-6-e-2,p-o-6-e-3,p-o-6-p-4,b-o-6-z-5,p-f-6-z-6,p-f-6-z-7,b-o-6-z-8,p-o-6-p-9,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-e-4,p-f-7-e-5,p-o-7-e-6,p-f-7-e-7,b-o-8-e-1,p-o-8-z-2,p-o-8-e-3,p-f-8-e-3,p-o-8-p-5
ac19x-21,60,60,60,60,65,65,60,60,60,60,90,60,70,60,78,60,75,60,60,60,60,60,60,60,60,60,60,60,60,60,70,60,60,60,60,60,65,60,60,65,60,60,60,60,60,60,60,70,75,60,60,65,60,60,60,65.0,75,75,60,60
ac19x-22,100,95,100,95,100,100,90,75,100,88,100,88,100,100,`100,100,100,100,100,100,100,95,100,90,77,100,100,100,100,98,100,60,95,91,70,80,95,70,100,62,60,61,75,90,60,61,90,75,82,75,70,60,60,75,65,82.0,75,75,90,90
ac19x-23,80,80,90,80,80,80,80,80,60,70,70,70,60,80,60,75,80,75,60,60,60,60,60,60,60,60,60,60,60,60,60,65,60,60,60,60,75,75,60,60,74,60,60,80,60,60,90,60,60,60,60,70,60,60,65,75.0,75,75,75,60
ac19x-24,65,65,85,60,75,60,65,70,70,80,70,62,70,60,75,60,68,60,70,60,60,60,60,60,60,60,60,60,65,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,75,70,60,60,70,70,60,60,75.0,75,75,60,90
ac19x-25,83,95,85,75,75,80,60,60,60,87,80,75,70,77,61,80,88,82,71,75,63,63,85,69,78,85,60,98,65,78,72,60,60,60,60,95,75,60,60,60,65,60,60,70,65,60,60,70,75,65,60,70,60,60,60,75.0,70,75,75,60
ac19x-26,76,71,63,60,70,65,60,60,60,60,89,71,60,88,65,60,64,60,60,60,60,60,60,60,85,60,60,75,60,60,60,60,65,60,60,60,60,60,60,60,65,60,75,90,60,60,75,70,60,60,90,65,60,60,60,75.0,70,75,75,70
ac19x-27,90,60,75,80,75,75,60,60,60,60,75,60,60,70,81,75,60,60,60,60,60,65,70,60,60,60,60,60,70,60,75,60,65,60,60,60,60,60,60,60,60,60,60,60,65,60,90,70,75,60,60,75,70,75,60,60.0,75,70,65,60
ac19x-28,100,100,100,95,100,100,100,95,100,97,100,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,95,100,100,95,96,99,95,98,100,85,92,100,100,100,100,100,100,90,100,100,100,95,100,100,100,100,100.0,100,100,100,100
ac19x-29,90,90,90,90,90,95,95,85,100,95,81,87,95,93,100,100,95,100,100,100,95,100,90,96,96,100,100,100,100,98,100,94,80,98,90,80,100,98,96,86,95,92,100,100,100,93,90,80,100,100,100,100,98,100,98,66.0,95,95,92,95
ac19x-30,100,95,95,80,100,100,85,62,100,84,96,95,100,95,97,100,96,95,100,100,86,85,85,92,81,100,100,100,75,91,100,90,100,96,91,95,100,70,95,84,90,93,100,100,99,99,90,100,95,100,75,100,90,98,90,100.0,100,100,95,100
